,VC_Fractal,VC_Markowitz,Lower VC
AAPL,21.075966923375724,21.07596692337572,Markowitz
MSFT,17.670076559095733,17.670076559095733,Markowitz
GOOGL,22.31761196625102,22.317611966251025,Fractal
AMZN,22.3808010305522,22.380801030552195,Markowitz
META,33.25970176474322,33.25970176474322,Markowitz
TSLA,21.099627533766267,21.099627533766274,Fractal
NVDA,15.5521546733326,15.5521546733326,Markowitz
INTC,57.82620547395493,57.826205473954936,Fractal
ORCL,29.89844404423648,29.898444044236484,Fractal
IBM,134.00037965195224,134.00037965195233,Fractal
ADBE,19.52497119568613,19.524971195686135,Fractal
NFLX,22.825485388597546,22.82548538859755,Fractal
CRM,31.84400987924061,31.84400987924061,Markowitz
CSCO,31.34262478890325,31.342624788903244,Markowitz
